text_id,text,date_est,business_hours
148,"ENJOY THE GAME USA, OUR COUNTRY IS DOING GREAT!",2020-02-02T23:13:16Z,business hours
149,RT @TeamTrump: President @realDonaldTrump: We have a 'Positive Revolution' going on in America! https://t.co/rqLyiu6CpW,2020-02-03T05:09:20Z,non-business hours
150,Great company! https://t.co/Q1NFAHrC3p,2020-02-03T05:08:56Z,non-business hours
151,RT @SenTomCotton: The future of our Iran policy is critical to the global competition that will determine America’s safety and position in…,2020-01-12T13:10:18Z,non-business hours
152,"Here we go again, another Con Job by the Do Nothing Democrats. All of this work was supposed to be done by the House, not the Senate!",2020-01-15T15:33:21Z,business hours
153,"Such Fake reporting by the @nytimes, @washingtonpost, @CNN &amp; others. They use a small portion of a sentence out of a full paragraph in order to demean. They really are corrupt and disgusting. No wonder the media is, according to polls, record setting low &amp; untrusted.  #MAGA",2020-03-28T04:21:32Z,non-business hours
154,"RT @GLFOP: Thank you, President @realDonaldTrump, for your steadfast, unapologetic support of law enforcement during #COVID19. From DAY ONE…",2020-04-28T23:49:48Z,business hours
155,"The Radical Left, Do Nothing Democrats keep chanting “fairness”, when they put on the most unfair Witch Hunt in the history of the U.S. Congress. They had 17 Witnesses, we were allowed ZERO, and no lawyers. They didn’t do their job, had no case. The Dems are scamming America!",2020-01-31T21:06:48Z,business hours
156,https://t.co/9GEW2VZu5h,2020-02-07T13:51:07Z,non-business hours
157,They are staging a coup against Bernie!,2020-03-02T21:32:54Z,business hours
158,"RT @WhiteHouse: President @realDonaldTrump traveled to Tennessee to survey damage from the recent tornado and meet with families.  

We are…",2020-03-07T12:12:19Z,non-business hours
159,Democrats = 17 Witnesses. Republicans = 0 Witnesses.,2020-01-31T23:05:44Z,business hours
160,"The Democrat Party has given up on counting votes in Iowa. Looks like it all got computer “fried”. Nobody knows who the real winner is. Maybe it’s Sleepy Joe, but it’s not looking that way. They lost millions &amp; millions of dollars, all for NOTHING. But I WON Iowa big!",2020-02-07T16:31:56Z,business hours
161,"RT @Jim_Jordan: Mark Meadows is smart, loyal, and a true patriot. He’s a good man and my best friend!

Couldn’t have picked anyone better f…",2020-03-07T12:12:41Z,non-business hours
162,به مردم شجاع و رنج کشیده ایران: من از ابتدای دوره ریاست جمهوریم با شما ایستاده‌ام و دولت من همچنان با شما خواهد ایستاد. ما اعتراضات شما را از نزدیک دنبال می کنیم. شجاعت شما الهام بخش است.,2020-01-11T21:46:26Z,business hours
163,"RT @WhiteHouse: We built the greatest economy in the world—and together, we will build it again! https://t.co/57gxhVH2k2",2020-04-29T02:37:24Z,non-business hours
164,Departing for the Great State of North Carolina! https://t.co/BjnyTnnHUt,2020-03-02T21:47:49Z,business hours
165,https://t.co/RcUcLBl9tT https://t.co/1OIXKTv0hp,2020-01-16T00:51:39Z,business hours
166,RT @WhiteHouse: LIVE: POTUS Signs the Phase One Trade Agreement! https://t.co/teqGqjdgeZ,2020-01-15T16:50:48Z,business hours
167,More Fake News! https://t.co/URewvfAUDl,2020-03-28T04:40:17Z,non-business hours
168,"RT @realDonaldTrump: We are helping Apple all of the time on TRADE and so many other issues, and yet they refuse to unlock phones used by k…",2020-01-15T14:37:24Z,business hours
169,"RT @realDonaldTrump: Cryin’ Chuck Schumer just said, “The American people want a fair trial in the Senate.” True, but why didn’t Nervous Na…",2020-01-15T14:37:11Z,business hours
